timestamp,slotA
381940,144361.0
381949,144348.0
381961,144154.0
381972,144137.0
381983,144116.0
381994,144118.0
382005,144241.0
382016,144024.0
382028,144034.0
382040,144075.0
382050,144023.0
382061,144307.0
382072,144056.0
382083,144113.0
382094,143943.0
382106,143986.0
382117,144178.0
382128,143903.0
382140,143899.0
382150,143928.0
382162,143849.0
382173,143905.0
382184,143759.0
382195,143697.0
382206,143793.0
382217,143719.0
382228,143694.0
382240,143546.0
382251,143424.0
382262,143477.0
382273,143534.0
382284,143462.0
382295,143283.0
382307,143199.0
382318,143120.0
382329,143112.0
382340,143177.0
382351,143165.0
382362,143146.0
382373,143432.0
382385,143789.0
382396,143854.0
382407,144391.0
382418,144574.0
382429,144874.0
382440,145119.0
382451,145137.0
382463,145192.0
382474,145268.0
382485,145184.0
382496,145305.0
382507,145207.0
382518,145243.0
382530,145157.0
382541,145165.0
382552,144993.0
382563,144919.0
382574,144750.0
382585,144692.0
382596,144744.0
382608,144504.0
382619,144297.0
382630,144210.0
382641,144245.0
382652,144064.0
382664,143947.0
382675,144118.0
382686,144102.0
382697,143992.0
382708,144107.0
382719,144035.0
382730,144096.0
382742,144013.0
382753,144080.0
382764,144107.0
382775,143909.0
382786,143827.0
382797,143809.0
382809,143788.0
382820,143699.0
382831,143639.0
382842,143623.0
382853,143491.0
382864,143583.0
382875,143253.0
382887,143307.0
382898,143213.0
382909,143311.0
382920,143054.0
382931,143076.0
382942,142994.0
382953,142953.0
382965,143039.0
382976,142800.0
382987,142675.0
382998,142665.0
383009,142676.0
383020,142914.0
383032,142394.0
383043,142403.0
383054,142455.0
383065,142827.0
383076,143342.0
383087,143548.0
383099,144049.0
383110,144196.0
383121,144530.0
383132,144835.0
383143,144923.0
383154,144972.0
383165,144949.0
383177,145107.0
383188,144895.0
383199,144988.0
383210,144994.0
383221,144896.0
383232,144764.0
383243,144708.0
383255,144641.0
383266,144456.0
383277,144457.0
383288,144326.0
383299,144360.0
383310,144187.0
383322,144062.0
383333,144037.0
383344,143855.0
383355,143822.0
383366,143831.0
383377,143875.0
383388,143938.0
383400,143875.0
383411,143897.0
383422,143793.0
383433,143875.0
383444,143840.0
383455,144010.0
383467,143836.0
383478,143853.0
383489,143699.0
383500,143651.0
383511,143760.0
383522,143593.0
383534,143568.0
383545,143572.0
383556,143374.0
383567,143256.0
383578,143265.0
383589,143104.0
383600,143183.0
383612,142981.0
383623,142870.0
383634,142790.0
383645,142505.0
383656,142464.0
383667,142538.0
383678,142448.0
383690,142223.0
383701,142353.0
383712,142295.0
383723,142309.0
383739,141970.0
383745,142107.0
383757,141955.0
383768,141941.0
383779,142065.0
383790,142318.0
383801,142907.0
383812,143323.0
383823,143560.0
383840,143968.0
383846,144029.0
383857,144263.0
383868,144526.0
383879,144888.0
383890,144780.0
383902,144777.0
383913,144666.0
383924,144709.0
383939,144848.0
383946,144520.0
383957,144522.0
383969,144474.0
383980,144460.0
383991,144345.0
384002,144247.0
384013,144025.0
384024,144163.0
384040,144031.0
384047,143979.0
384058,143743.0
384069,143716.0
384080,143824.0
384091,143703.0
384102,143799.0
384113,143696.0
384125,143636.0
384140,143711.0
384147,143729.0
384158,143789.0
384169,143807.0
384180,143892.0
384192,143747.0
384203,143609.0
384214,143768.0
384225,143651.0
384240,143551.0
384247,143687.0
384259,143777.0
384270,143470.0
384281,143446.0
384292,143325.0
384303,143167.0
384314,143294.0
384326,143041.0
384340,143113.0
384348,142997.0
384359,142790.0
384370,142824.0
384381,142785.0
384392,142624.0
384404,142601.0
384415,142486.0
384426,142536.0
384439,142311.0
384448,142327.0
384459,142369.0
384470,142143.0
384482,142331.0
384493,142655.0
384504,143127.0
384515,143377.0
384526,143710.0
384540,143868.0
384548,144344.0
384560,144444.0
384571,144594.0
384582,144783.0
384593,144894.0
384604,144819.0
384615,145101.0
384627,144956.0
384640,144851.0
384649,144993.0
384660,144712.0
384671,144695.0
384682,144529.0
384694,144421.0
384705,144231.0
384716,144323.0
384727,144038.0
384740,143951.0
384749,143876.0
384761,143859.0
384772,143869.0
384783,143779.0
384794,143619.0
384805,143788.0
384816,143771.0
384827,143747.0
384840,143699.0
384850,143751.0
384861,143808.0
384872,143813.0
384883,143790.0
384894,143720.0
384905,143846.0
384917,143614.0
384928,143761.0
384940,143710.0
384950,143590.0
384961,143497.0
384972,143514.0
384983,143359.0
384995,143185.0
385006,143131.0
385017,143206.0
385028,142961.0
385040,142772.0
385051,142942.0
385062,142845.0
385073,142666.0
385084,142715.0
385095,142534.0
385106,142562.0
385117,142350.0
385129,142443.0
385140,142391.0
385151,142178.0
385162,142096.0
385173,142097.0
385184,141880.0
385196,141930.0
385207,142062.0
385218,141953.0
385229,142736.0
385240,143275.0
385251,143700.0
385262,143936.0
385273,144172.0
385285,144538.0
385296,144796.0
385307,144928.0
385318,145128.0
385329,145155.0
385340,145188.0
385352,145151.0
385363,145157.0
385374,144963.0
385385,144883.0
385396,144847.0
385407,144697.0
385419,144660.0
385430,144641.0
385441,144547.0
385452,144370.0
385463,144102.0
385474,144242.0
385486,144173.0
385497,144050.0
385508,144178.0
385519,143740.0
385530,144020.0
385541,143981.0
385553,143953.0
385564,143745.0
385575,144060.0
385586,143973.0
385597,143821.0
385608,143924.0
385619,143933.0
385631,144044.0
385642,143962.0
385653,143876.0
385664,143794.0
385675,143797.0
385686,143780.0
385697,143760.0
385709,143753.0
385720,143573.0
385731,143533.0
385742,143579.0
385753,143407.0
385764,143304.0
385775,143324.0
385787,143349.0
385798,143169.0
385809,143055.0
385820,143058.0
385831,142879.0
385842,142933.0
385854,142591.0
385865,142767.0
385876,142794.0
385887,142684.0
385898,142644.0
385909,142488.0
385921,142670.0
385932,142877.0
385943,143399.0
385954,143736.0
385965,143975.0
385976,144351.0
385988,144612.0
385999,144793.0
386010,145071.0
386021,145160.0
386032,145344.0
386043,145674.0
386054,145600.0
386066,145494.0
386077,145448.0
386088,145366.0
386099,145373.0
386110,145254.0
386121,145092.0
386133,144988.0
386144,145043.0
386155,144790.0
386166,144566.0
386177,144419.0
386188,144296.0
386199,144391.0
386210,144212.0
386222,144230.0
386233,144275.0
386244,144158.0
386255,144109.0
386266,144200.0
386277,144101.0
386289,144496.0
386300,144271.0
386311,144257.0
386322,144245.0
386333,144291.0
386344,144135.0
386356,144150.0
386367,144165.0
386378,143949.0
386389,144074.0
386400,143996.0
386411,143831.0
386423,143862.0
